Patient,ROI,Scanner,Batch,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_Mean,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MaximumProbability,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
CCR1_P2,050_02,Philips,9,-648,-596,400810530,1.743305574,28,2.226615841,-579,-622.5890411,15.62452949,-623,-666,87,11.81579839,401.854349,0.043887114,1146728125,0.33154425,356.1598799,6.848341507,5.738359251,-0.013076809,1.363316158,1.357591852,0.002000386,0.863253157,1.424084414,0.512707413,0.641339143,0.617807291,0.9312601,0.84275029,-0.184539591,0.652704368,0.519711824,2.616659446,0.134722913,3.172845881,0.19355229,2.066164144,0.680227002,5.276240126,190.800967,0.076873879,14.28927245,822.8928284,0.675064493,7.550362611,83.02820306,620.4012893,14.23110003,0.223120355,0.034286089,0.234501863,0.013485143,555.3678978,0.31235141,0.753758168,7.567283006,3.124090168,23.64745667,0.645815531,0.237716732,2.869486203,1062.766261,0.573787139,0.719549991,0.771481308,0.77063222,5.842773529,0.194109938,27.46153846,0.422485207,2.03408284,7.430769231,28754.49231,195202.2154,4989.812073,0.551495726,4.692307692,0.072189349,0.142075216,0.536278725,0.10408278,4.560282237,0.026188558,27296.42746,64.82339561,0.002124786,3.707524136,0.080569219,0.008731877
CCR1_P2,050_03,Philips,9,-644,-592,403511080,1.759235663,29,2.289717733,-565,-617.8,16.06622951,-618,-665,100,12.13546017,406.6612761,0.036132712,1154454460,0.327553077,374.9534426,7.914216236,6.287173869,0.094989682,1.421200621,1.300716514,0.045831977,0.833448014,1.421875132,0.50188314,0.65434514,0.630002843,0.954608674,0.871731086,-0.169061445,0.631452811,0.488894702,2.807861044,0.134600529,3.210284116,0.204756119,2.13489429,0.680479284,5.416560203,173.1647541,0.070969162,18.00945378,799.2295082,0.686433586,8.606967213,97.35081967,822.2528689,14.09526947,0.180835724,0.034061483,0.318164748,0.01014429,526.4920748,0.311038508,0.781353072,8.67007103,3.484944348,29.81150446,0.583506339,0.191888611,2.943420649,994.4499644,0.559269749,0.695838588,0.923527401,0.75173417,6.556844678,0.152131067,16.76271186,0.28411376,2.399310543,10.22033898,27287.45763,204754.2542,4268.32621,0.425856874,5.169491525,0.0876185,0.267552482,3.166546141,0.106698731,4.96951927,0.024180328,25577.1445,34.14802826,0.002273565,6.640906346,0.046755631,0.016371468
CCR1_P2,050_04,Philips,9,-648,-596,394808374,1.752220406,28,2.187758338,-579,-622.1827869,15.52535676,-622,-666,87,11.73367556,402.2520487,-0.01141641,1129555819,0.32952936,349.6379004,6.934516554,5.578695827,-0.100474821,1.339534292,1.378563642,-0.014405241,0.871962655,1.439013389,0.529377932,0.63889069,0.614678771,0.930277779,0.841401428,-0.18192101,0.636936104,0.51898966,2.635197053,0.135142586,3.178137978,0.198553931,2.046977556,0.679524484,5.268939143,185.4163934,0.075990325,15.42706195,804.0516393,0.684006987,7.61557377,84.11311475,653.0344262,13.65010531,0.22390995,0.040887998,0.283951371,0.017962404,538.6969183,0.307233992,0.776393883,7.586533464,3.186648735,24.58501265,0.641268993,0.241734429,2.870347622,1046.057967,0.574551095,0.719672131,0.789772294,0.769906269,5.829635961,0.198722245,37.6097561,0.458655562,2.127305175,7.609756098,21744,151620.9024,3661.715024,0.561568428,9.87804878,0.12046401,0.324842551,1.76965353,0.227625403,4.300392896,0.033606557,20858.57466,63.38249406,0.002154008,3.762906543,0.083383367,0.008748419
CCR1_P2,050_05,Philips,9,-650,-599,383750910,1.740135681,27,2.263605849,-581,-624.5525,15.20403333,-624,-667,86,11.51685498,399.8702446,-0.069880919,1097920160,0.334588542,337.9072438,6.507789793,5.512790767,-0.057693394,1.322893992,1.350912991,-0.010749867,0.86405526,1.415037815,0.516570921,0.639686655,0.616658143,0.931522128,0.842339977,-0.181214319,0.636436903,0.527103298,2.552407451,0.138429167,3.164030681,0.201280737,2.041660952,0.668451746,5.290868244,186.3408333,0.077642014,14.19925677,803.0125,0.668919271,7.139583333,83.23458333,590.39,15.39813079,0.243605324,0.03586836,0.256945096,0.014651946,537.3471135,0.311871241,0.754476957,7.169862093,3.250701366,23.04672643,0.742443357,0.259870751,2.872851432,1024.202445,0.570988512,0.718846154,0.719076452,0.762100156,5.478320896,0.210763383,30.13432836,0.449766095,2.10113611,7.52238806,26829.01493,180696.2239,4700.618574,0.561359867,4.910447761,0.073290265,0.191871726,1.264710963,0.120621496,4.733489004,0.027916667,25545.87837,63.01068969,0.002135739,3.721164758,0.081455921,0.008763311
CCR1_P2,050_06,Philips,9,-650,-599,389243187,1.758109608,27,2.275822261,-579,-625.022541,15.17514781,-625,-672,93,11.21592655,399.4069307,0.053528437,1113633691,0.328801733,342.8835083,6.426771402,5.960840362,0.020709766,1.379079953,1.399923604,-0.007407489,0.872142351,1.458412724,0.540569344,0.641209765,0.61670695,0.929679977,0.841943369,-0.174913612,0.63500062,0.511224992,2.536132852,0.131586791,3.217777109,0.19397647,2.082073318,0.694750889,5.287757705,191.5868852,0.078519215,13.2736682,802.2762295,0.689409937,7.077459016,83.90942623,568.5635246,16.540699,0.247626366,0.031662271,0.240277743,0.011118378,536.4884068,0.30884941,0.768379825,7.159683265,3.182407559,22.22762845,0.747975341,0.261042246,2.905880404,1024.291356,0.565581469,0.71519546,0.742107211,0.763519789,5.521128473,0.209518168,25.43333333,0.423888889,2.083055556,8.25,30179.66667,193003.2833,5576.073843,0.508680556,4.7,0.078333333,0.141924464,0.967652109,0.072839617,4.771241171,0.024590164,28525.88889,68.61679163,0.002114893,3.739139703,0.084625517,0.008637012
CCR1_P2,050_07,Philips,9,-650,-599,385040432,1.735076582,26,2.361585264,-578,-623.8758333,14.88551181,-624,-667,89,10.91799322,400.5415251,-0.033333669,1101609512,0.337050347,334.1645826,6.597068648,5.591494526,-0.143171777,1.32704079,1.319833937,0.003207007,0.838352298,1.448968594,0.529184913,0.65222295,0.628972015,0.933107837,0.847367747,-0.163304255,0.614436144,0.500618804,2.56812302,0.137348488,3.180528359,0.209009234,2.075964509,0.661718682,5.347588764,170.4758333,0.071031597,15.75109375,808.9208333,0.665499826,7.255416667,93.8525,692.31125,16.63399306,0.239675926,0.033395925,0.26361436,0.012166997,519.6347653,0.310845957,0.759235364,7.25095325,3.410982113,24.82747983,0.749623693,0.257921904,2.952737067,957.9587659,0.549792861,0.698461538,0.822539972,0.749252341,5.43842584,0.205872036,30.88732394,0.435032732,2.106724856,8.112676056,25501.6338,178124.7465,4292.260172,0.520735524,5.957746479,0.083911922,0.207166563,1.871583742,0.088860349,4.776183127,0.029583333,24359.00337,58.77452453,0.002204147,3.621509056,0.078945278,0.00899188
CCR1_P2,050_08,Philips,9,-646,-599,402390989,1.633513104,24,2.409552301,-577,-621.7175665,13.94437241,-621,-662,85,10.24232504,402.645857,-0.051328982,1151249854,0.36674597,292.5298203,7.115805588,4.199415281,-0.096245649,1.124559861,1.146416463,-0.010016075,0.774348176,1.3809243,0.485999785,0.668309561,0.650032741,0.94078846,0.856786615,-0.166072378,0.600052231,0.510439231,2.668568658,0.160419639,2.98857665,0.246007439,1.958991788,0.567744081,5.288794862,157.3690572,0.063404133,19.89771317,910.2634972,0.571038958,7.644238517,103.3086221,831.5112812,15.12321772,0.202365364,0.044916892,0.321898884,0.019221581,569.0406913,0.333615589,0.672993051,7.537129481,3.489794915,27.27402253,0.622557685,0.222180268,2.867297569,945.4613982,0.537280018,0.68719395,0.959879581,0.746338967,5.554333521,0.179782233,39.53763441,0.425135854,2.059891317,7.655913978,22706.75269,166487.7957,3588.772775,0.539351852,19.94623656,0.214475662,0.474816125,3.48498741,0.280197993,4.102450059,0.037469782,21994.49416,53.14486224,0.002163557,3.511300151,0.06274495,0.009027594
CCR1_P2,050_09,Philips,9,-647,-601,391275031,1.622531138,24,2.499794425,-580,-623.9127049,13.71223663,-623,-667,87,9.897072195,400.4480232,-0.051984361,1119446843,0.370224066,288.7755763,6.738599349,4.278205473,-0.120522948,1.138756714,1.139599605,-0.00156215,0.781109388,1.358647345,0.468400389,0.662663241,0.645294328,0.940950526,0.854981461,-0.161315991,0.60184586,0.529106772,2.595918183,0.158948852,3.00135444,0.233706645,1.976291868,0.56958908,5.16286205,176.1163934,0.07217885,15.90966793,903.3467213,0.561232028,7.255327869,95.15614754,727.2545082,15.16625114,0.216763434,0.037006807,0.289444032,0.014230507,578.2963955,0.340899744,0.647756143,7.184730061,3.297321201,24.24703203,0.652109935,0.234592517,2.858184838,950.4580545,0.541430634,0.696027743,0.801680968,0.747614367,5.329318909,0.188588281,33.17142857,0.473877551,2.185510204,8.871428571,30430.65714,213667.3,5072.693849,0.494444444,10.4,0.148571429,0.383502026,3.675312239,0.177763874,4.228546233,0.028688525,29215.63673,54.63056313,0.002101028,3.506929028,0.061813095,0.009024192
CCR1_P2,050_10,Philips,9,-648,-599,397918114,1.666367824,25,2.344412156,-581,-623.9742143,14.11262979,-624,-665,84,10.58306186,400.4017493,0.042681192,1138452856,0.355439422,300.9316478,6.668080283,4.679487566,-0.048145448,1.207190333,1.197898214,0.003778011,0.800744968,1.386754744,0.481119138,0.658549957,0.639342841,0.938391362,0.852258618,-0.165968033,0.617892604,0.521894789,2.581811255,0.149484697,3.061982717,0.217782921,2.015425139,0.601272137,5.207993402,183.817083,0.074060066,15.30435023,882.2006446,0.598692699,7.237308622,92.16680097,670.4170024,15.80780229,0.221391239,0.034942969,0.270088823,0.013257089,573.58087,0.330349941,0.684249456,7.271242999,3.184104562,23.00411862,0.654583083,0.235979208,2.894822627,985.4027866,0.547307832,0.701233497,0.778506377,0.754173103,5.517550821,0.188579676,29.05970149,0.433726888,2.088215638,8.910447761,31041.8806,207291.3881,5473.535137,0.473984245,7.895522388,0.117843618,0.302355789,2.330570732,0.167692028,4.370569469,0.026994359,29669.56516,60.18321854,0.002083076,3.566149266,0.067636272,0.008818616
CCR1_P2,050_11,Philips,9,-650,-599,392059713,1.741056382,26,2.368239106,-578,-623.5561475,14.63974536,-624,-666,88,10.74909819,400.849361,-0.017457543,1121691836,0.334303951,324.9312737,6.646554583,5.665411857,-0.084931585,1.344908832,1.321665032,0.009380764,0.841273417,1.430714173,0.524852801,0.650228147,0.627402453,0.933070485,0.846706895,-0.173430658,0.63490708,0.507823547,2.576962778,0.136379052,3.173343797,0.198032471,2.074056688,0.666643466,5.301738582,181.0827869,0.074214257,14.82424331,815.7016393,0.67041857,7.307377049,90.27909836,657.6754098,16.13269012,0.236168033,0.033578379,0.247496765,0.013277471,531.8832791,0.310466056,0.76099659,7.326798296,3.312272771,24.2553035,0.718160598,0.253103887,2.931726776,989.3509206,0.554987329,0.704319042,0.811634619,0.754852105,5.553411078,0.202973651,30.33333333,0.45959596,2.144398531,7.803030303,28127.84848,192906.303,4830.109848,0.551872896,5.393939394,0.081726354,0.221581474,1.291319198,0.146200123,4.721906051,0.02704918,26761.08999,60.41661119,0.002204008,3.599334257,0.079007956,0.008931659
